Nombre de OSC;Objeto de la Organizacion
A.C.I.A.P.O.;"Salud;#4"
AAAEPAD;"Salud;#4"
AAPPG;"Salud;#4"
ABRIL SOLIDARIO;"Comunidad;#3"
ABRIR LA PUERTA;
ACCERVIL;"Discapacidad;#2"
ACDE;"Comunidad;#3"
ACEPAR;
ACER /Conin San Isidro;"Educacion;#6"
ACIFAD;"Comunidad;#3"
ADC;"Comunidad;#3"
ADESAR;"Salud;#4;#Comunidad;#3"
ADOBE;"Integracion;#5"
ADOPTARE;"Comunidad;#3"
AEAPG ASOCIACION ESCUELA ARG DE PSICOTERAPIA GRADUADOS;"Educacion;#6;#Salud;#4"
AEDIN;"Integracion;#5"
AEDROS;"Fortalecimiento;#12"
AEPSO;"Salud;#4"
AGAPAO;"Salud;#4;#Comunidad;#3"
AIDIS;"Comunidad;#3"
AIKEN;"Comunidad;#3"
AL REPARO;"Discapacidad;#2"
ALANON;"Comunidad;#3;#Adicciones;#7"
ALDEAS INFANTILES;"Comunidad;#3;#Educacion;#6;#Medio Ambiente;#10"
ALEGRIA INTENSIVA;"Infancia;#8"
ALIMENTARIS;"Comunidad;#3"
ALMA;"Salud;#4"
ALPAD;
ALPI;"Salud;#4"
ALTERNATIVA 3;
AMA;"Comunidad;#3;#Salud;#4"
AMARANTA;"Infancia;#8"
AMARTYA;"Comunidad;#3"
AMERICAN JOINT DISTRIBUTION COMMITTEE;"Comunidad;#3"
AMIA;"Comunidad;#3"
AMJA;"Comunidad;#3"
ANDARES;
ANIDAR;"Comunidad;#3;#Infancia;#8"
ANUAR;"Comunidad;#3"
Anybody Argentina;"Comunidad;#3"
APA (Asoc.Psicoanalitica Argentina);"Salud;#4"
APAER;"Comunidad;#3;#Educacion;#6"
ARGENTINA NARRADA;"Educacion;#6"
ARPA;"Salud;#4"
ARTE Y ESPERANZA;"Integracion;#5"
ARTESANIAS ARGENTINAS;"Comunidad;#3"
ARTICULAR;"Salud;#4"
ASAC Asoc.Ayuda al Ciego;"Integracion;#5;#Salud;#4"
ASCINUEN;"Salud;#4"
ASDRA;"Comunidad;#3;#Discapacidad;#2"
ASHOKA;"Educacion;#6"
ASOCIACION ARGENTINA DE EDUCADORES SEXUALES;"Educacion;#6"
ASOCIACION ARGENTINA DE KARATE;"Integracion;#5"
ASOCIACIÓN CIVIL ORY;
ASOCIACION FILANTROPICA ISRAELITA;"Comunidad;#3"
ASOCIACION MUTUAL SENDEROS (MTE);"Comunidad;#3;#Integracion;#5"
ASPERGER;"Salud;#4;#Discapacidad;#2"
AVANZAR;"Comunidad;#3"
AVES ARGENTINAS;"Comunidad;#3"
AVINA;
BANCO DE ALIMENTOS;
BASTONES VERDES;"Salud;#4"
BOCA SOCIAL;"Comunidad;#3;#Infancia;#8"
BRINCAR;"Salud;#4"
CAII;"Comunidad;#3"
CAMBIO DEMOCRATICO;
CAMINANDO JUNTOS (UNITED WAY);"Comunidad;#3"
CANALES;"Integracion;#5"
CARE;"Discapacidad;#2"
CARITAS NACIONAL;"Comunidad;#3"
CARLOS DIAZ VELEZ;"Educacion;#6"
CASA DEL ENCUENTRO;"Integracion;#5"
CASA DEL NIÑO NUEVA FAMILIA;"Educacion;#6"
CASA DEL TEATRO;"Comunidad;#3"
CASA NIÑO MARIA DE NAZARETH;"Integracion;#5"
CASA RAFAEL;"Educacion;#6;#Comunidad;#3"
CASCOS VERDES;"Discapacidad;#2"
CAZADORES DE ARTE;"Comunidad;#3"
CENTRO THEVENET;"Discapacidad;#2"
CERO A LA DERECHA;"Comunicacion;#1;#Integracion;#5"
CESUM;"Salud;#4"
CHAP;"Salud;#4"
CHICOS NATURALISTAS;"Educacion;#6"
CIENCIA PARA TODOS;
CILSA;"Integracion;#5"
CIMIENTOS;"Educacion;#6"
CIRCO SOCIAL DEL SUR;
CIUDADANOS DEL MUNDO;"Comunidad;#3"
Club de amigos mios;"Discapacidad;#2"
CLUB DEPORTIVO BONGIOVANNI;"Comunidad;#3"
COLEGIO DE ESCRIBANOS;"Adicciones;#7"
COLEGIO MADRE TERESA;"Educacion;#6"
Comprometerse mas;"Educacion;#6;#Adicciones;#7"
COMPROMISO;
COMUNIA;"Comunicacion;#1"
CONCIENCIA;"Comunidad;#3"
CONIN LUJAN;"Infancia;#8;#Salud;#4"
CONVIVIR;"Adicciones;#7;#Salud;#4"
COOPERATIVA DECAPOLIS;"Comunidad;#3"
COSIENDO REDES;
CREANDO LAZOS;"Comunidad;#3"
CREAR CAMINOS;"Comunidad;#3"
CREAR VALE LA PENA;
CRUZ ROJA;"Salud;#4"
CUENTA CONMIGO;"Comunidad;#3"
CULTIVARTE;"Infancia;#8;#Educacion;#6"
CURAR;"Comunidad;#3;#Salud;#4"
DAD;"Comunidad;#3"
DALE TU MANO;"Educacion;#6;#Comunidad;#3"
DAMAS ROSADAS;"Salud;#4"
DAR ES DAR;"Comunidad;#3;#Infancia;#8"
DE LA NADA;"Comunidad;#3"
DEBRA;"Salud;#4"
DEFENSORES DEL CHACO;"Comunidad;#3"
DEHUM;"Adicciones;#7"
DESAFIO E IGUALDAD;"Comunidad;#3"
DETODOSPARATODOS;"Comunidad;#3"
DIAGONAL;"Integracion;#5"
DIGNIDAD;"Comunidad;#3"
DISCAR;"Integracion;#5"
Don Orione;"Comunidad;#3"
DONAR SANGRE;"Salud;#4"
DONCEL;"Infancia;#8;#Comunidad;#3"
DONDE QUIERO ESTAR;"Salud;#4"
ECOCLUBES;
EDUCACION PARA COMPARTIR;"Comunidad;#3;#Educacion;#6"
EDUCAR Y CRECER;"Educacion;#6"
EJERCITO DE SALVACION;"Comunidad;#3"
EL ALMENDRO;"Adicciones;#7"
EL ARRANQUE;"Comunidad;#3"
EL PUENTE POSIBLE;"Integracion;#5"
EL REPARO;"Adicciones;#7"
EMAUS;"Comunidad;#3"
EMILIE JENECHERU;"Infancia;#8"
EMMANUEL;"Adicciones;#7"
EMPRENDER;"Discapacidad;#2"
ENABLIS;"Comunidad;#3"
ENDEAVOR;"Educacion;#6"
ENSEÑA POR ARG.;"Educacion;#6"
EQUIDAD;"Integracion;#5"
ESCLEROSIS MULTIPLE ARGENTINA;"Salud;#4"
ESCOLARES;"Educacion;#6"
ESCUELA TALLER FATIMA;
ESCUELAS DEL BICENTENARIO;"Educacion;#6"
Espacio de Escucha;"Comunidad;#3"
ESPERANZA VIVA;"Comunidad;#3"
ETIS;"Educacion;#6"
EVE (Eduacación en Valores);"Educacion;#6"
FADEPOF;"Salud;#4"
FAGRAN ( Federación de Nutricionistas);"Salud;#4"
FAIAM;
